FIRST,SECOND,THIRD,REMARKS
80,78,86,1
50,53,51,1
38,34,39,0
45,40,38,0
54,54,46,1
72,77,79,1
28,38,38,0
36,39,32,0
66,59,55,1
79,82,84,1
54,55,50,1
67,61,63,1
41,44,40,1
29,37,32,0
57,63,58,1
39,42,41,1
79,82,69,1
40,44,38,0
42,49,40,1
88,92,90,1
71,75,68,1
28,25,35,0
46,50,44,1
51,49,45,1
46,46,39,0
67,62,70,1
35,44,34,0
45,41,37,0
56,59,61,1
72,67,66,1
83,82,88,1
37,39,33,0
46,42,39,0
43,40,36,0
29,37,37,0
37,40,38,0
77,75,80,1
63,49,55,1
55,54,59,1
65,69,66,1
52,48,51,1
43,39,39,0
36,37,33,0
27,25,35,0
79,85,84,1
90,92,89,1
82,78,86,1
56,49,48,1
43,37,36,0
39,44,45,1
40,49,44,1
32,39,35,0
78,69,63,1
33,25,38,0
66,48,51,1
42,39,36,0
55,59,56,1
35,42,38,0
36,44,39,0
42,36,44,1
69,58,63,1
54,60,64,1
41,35,39,0
81,85,77,1
91,93,90,1
29,37,33,0
19,25,22,0
26,40,36,0
35,48,38,0
25,39,36,0
47,36,24,0
73,70,80,1
61,60,65,1
48,44,40,1
44,40,37,0
25,38,36,0
50,42,39,0
40,46,39,0
39,42,34,0
70,79,72,1
33,42,38,0
43,44,40,1
44,49,53,0
36,42,38,0
48,40,46,1
71,78,82,1
64,70,73,1
60,56,60,1
44,44,39,0
39,32,38,0
47,44,45,1
33,40,38,0
28,25,39,0
58,47,60,1
45,47,51,1
38,38,39,0
46,49,40,1
51,42,41,1
39,45,42,1
36,38,43,1
50,75,55,1
91,98,98,1
66,67,50,1
44,38,23,0
72,85,80,1
78,89,82,1
99,100,92,1
91,96,88,1
93,97,75,1
79,85,58,1
72,79,55,1
89,97,75,1
51,68,35,0
48,55,38,0
84,89,77,1
35,48,29,0
75,75,68,1
90,90,80,1
95,93,89,1
21,26,21,0
48,42,35,0
64,75,61,1
75,78,82,1
89,81,68,1
68,61,59,1
67,75,55,1
71,89,76,1
70,77,69,1
78,85,66,1
54,62,38,0
77,78,65,1
73,89,85,1
98,96,90,1
88,82,87,1
72,71,79,1
79,87,70,1
55,49,30,0
21,48,35,0
68,74,45,0
97,99,80,1
64,62,53,1
89,98,90,1
75,82,80,1
48,59,53,1
46,38,26,0
90,90,90,1
89,95,78,1
45,58,52,1
57,68,65,1
41,31,34,0
54,58,55,1
85,81,80,1
85,78,76,1
94,87,96,1
56,63,51,1
74,56,52,1
22,32,38,0
47,38,37,0
65,67,60,1
72,77,72,1
88,91,93,1
56,54,50,1
75,88,81,1
62,51,64,1
43,39,37,0
41,36,30,0
48,44,42,1
68,73,77,1
48,56,44,1
65,66,60,1
66,47,62,1
63,71,74,1
41,36,44,1
40,60,51,1
34,36,38,0
32,36,30,0
36,44,33,0
91,97,93,1
74,75,82,1
41,33,36,0
42,35,37,0
71,78,84,1
36,56,52,1
54,52,39,0
52,54,54,1
40,34,30,0
40,52,54,1
82,88,81,1
64,47,66,1
69,78,66,1
34,46,51,1
40,36,41,1
41,48,39,0
42,36,48,1
43,39,36,0
48,39,39,0
87,90,80,1
42,42,36,0
48,37,41,1
